Month,Quantity
2009-01,2108298
2009-02,1426647
2009-03,1970612
2009-04,2451605
2009-05,2305311
2009-06,575458
2009-07,202669
2009-08,1166105
2009-09,4036535
2009-10,4181086
2009-11,3282707
2009-12,3036138
2010-01,2579813
2010-02,2884799
2010-03,4100080
2010-04,4838552
2010-05,3813614
2010-06,2659959
2010-07,1048694
2010-08,825000
2010-09,4716444
2010-10,5192052
2010-11,3648908
2010-12,2793423
2011-01,901884
2011-02,47885
2011-03,352754
2011-04,9572906
2011-05,11540187
2011-06,3199818
2011-07,1745861
2011-08,2503775
2011-09,6049117
2011-10,8495552
2011-11,2318184
2011-12,2972201
2012-01,700093
2012-02,3146993
2012-03,4892732
2012-04,5237481
2012-05,3935191
2012-06,3583262
2012-07,2148942
2012-08,3348146
2012-09,5555611
2012-10,6901599
2012-11,4785650
2012-12,1732249
2013-01,3158794
2013-02,3519639
2013-03,6127398
2013-04,4199494
2013-05,6629098
2013-06,5112544
2013-07,3788771
2013-08,4663924
2013-09,4670343
2013-10,8754051
2013-11,5370951
2013-12,3788823
2014-01,3273620
2014-02,3283704
2014-03,6141147
2014-04,7095766
2014-05,5829639
2014-06,1270878
2014-07,519600
2014-08,3224623
2014-09,4851026
2014-10,6968774
2014-11,4482309
2014-12,4124963
2015-01,3892756
2015-02,2294779
2015-03,3580991
2015-04,2653750
2015-05,1583660
2015-06,7185736
2015-07,3480586
2015-08,4217988
2015-09,4926918
2015-10,6165976
2015-11,4968462
2015-12,4423321
2016-01,4863866
2016-02,1967218
2016-03,7213002
2016-04,9440115
2016-05,7447037
2016-06,4877821
2016-07,2572376
2016-08,6548561
2016-09,8301875
2016-10,11995353
2016-11,5075770
2016-12,7197120
2017-01,5930915
2017-02,6366892
2017-03,6382936
2017-04,10021187
2017-05,6915405
2017-06,6080134
2017-07,4259340
2017-08,6968616
2017-09,9711314
2017-10,9162049
2017-11,5651679
2017-12,8094736
2018-01,0
2018-02,3420505
2018-03,8560654
2018-04,12068228
2018-05,12063924
2018-06,6399147
2018-07,5066969
2018-08,6415609
2018-09,7921342
2018-10,12126620
2018-11,8326415
2018-12,4018754
