Month,Quantity
2009-01,379934
2009-02,289147
2009-03,345271
2009-04,634783
2009-05,741528
2009-06,1172770
2009-07,857457
2009-08,522766
2009-09,333481
2009-10,262504
2009-11,324708
2009-12,576583
2010-01,725516
2010-02,392520
2010-03,540539
2010-04,909267
2010-05,863139
2010-06,981373
2010-07,672679
2010-08,320008
2010-09,395519
2010-10,137310
2010-11,160841
2010-12,547837
2011-01,879279
2011-02,1086290
2011-03,848630
2011-04,1425217
2011-05,1601669
2011-06,1447284
2011-07,600358
2011-08,410040
2011-09,487070
2011-10,177297
2011-11,337436
2011-12,764068
2012-01,677507
2012-02,755820
2012-03,658751
2012-04,966088
2012-05,945806
2012-06,487746
2012-07,686908
2012-08,513407
2012-09,594843
2012-10,350151
2012-11,341182
2012-12,603665
2013-01,234737
2013-02,334721
2013-03,358415
2013-04,503869
2013-05,629432
2013-06,577732
2013-07,764279
2013-08,320513
2013-09,847645
2013-10,386300
2013-11,495055
2013-12,367198
2014-01,247574
2014-02,394409
2014-03,383603
2014-04,517198
2014-05,452849
2014-06,294785
2014-07,477718
2014-08,263863
2014-09,473836
2014-10,463883
2014-11,219793
2014-12,555177
2015-01,183935
2015-02,415187
2015-03,352307
2015-04,252572
2015-05,332328
2015-06,520599
2015-07,232833
2015-08,256927
2015-09,115712
2015-10,229236
2015-11,181112
2015-12,619331
2016-01,221551
2016-02,476781
2016-03,632007
2016-04,561189
2016-05,670420
2016-06,437294
2016-07,223959
2016-08,198956
2016-09,230616
2016-10,128478
2016-11,308702
2016-12,539449
2017-01,383675
2017-02,354214
2017-03,644871
2017-04,508780
2017-05,473048
2017-06,336551
2017-07,50135
2017-08,197371
2017-09,235803
2017-10,131540
2017-11,287500
2017-12,261035
2018-01,624415
2018-02,881207
2018-03,952630
2018-04,646094
2018-05,561744
2018-06,497921
2018-07,389783
2018-08,356549
2018-09,310997
2018-10,104823
2018-11,273139
2018-12,485785
