Month,Quantity
2009-01,1884840
2009-02,1062719
2009-03,1886981
2009-04,4708045
2009-05,1951193
2009-06,2638844
2009-07,5201913
2009-08,6288031
2009-09,7778690
2009-10,6282732
2009-11,5054747
2009-12,5477555
2010-01,6685124
2010-02,4318700
2010-03,8876354
2010-04,8260815
2010-05,7602093
2010-06,7928432
2010-07,10270890
2010-08,9816051
2010-09,13962782
2010-10,15629470
2010-11,6751320
2010-12,6536658
2011-01,8784538
2011-02,4749425
2011-03,2442478
2011-04,1007130
2011-05,2186650
2011-06,4039217
2011-07,8074434
2011-08,14205627
2011-09,20175168
2011-10,24109151
2011-11,20997916
2011-12,18002598
2012-01,10572531
2012-02,9794706
2012-03,10305146
2012-04,9942631
2012-05,5772175
2012-06,8690854
2012-07,12279301
2012-08,16598809
2012-09,23965518
2012-10,24945056
2012-11,23879638
2012-12,22347837
2013-01,19487522
2013-02,15053818
2013-03,11015182
2013-04,13182274
2013-05,12367313
2013-06,28609518
2013-07,20185622
2013-08,21494264
2013-09,28175924
2013-10,33368611
2013-11,17815909
2013-12,15156474
2014-01,17141774
2014-02,12331358
2014-03,13051056
2014-04,13317476
2014-05,10970348
2014-06,13565126
2014-07,17633983
2014-08,21694076
2014-09,28200754
2014-10,26844852
2014-11,26211121
2014-12,17735094
2015-01,15254347
2015-02,17591675
2015-03,17746977
2015-04,21874939
2015-05,15379676
2015-06,13984653
2015-07,21119513
2015-08,21453382
2015-09,20045599
2015-10,18533763
2015-11,12882689
2015-12,10812234
2016-01,15274122
2016-02,9777825
2016-03,15320246
2016-04,16174992
2016-05,19405031
2016-06,33471914
2016-07,19365511
2016-08,23758308
2016-09,24841696
2016-10,31413159
2016-11,29793468
2016-12,25874951
2017-01,20903866
2017-02,7373131
2017-03,9389987
2017-04,11133667
2017-05,9065570
2017-06,34184283
2017-07,17442359
2017-08,101135298
2017-09,23363643
2017-10,25098960
2017-11,30440669
2017-12,26237352
2018-01,0
2018-02,15597289
2018-03,12136553
2018-04,20393393
2018-05,14321177
2018-06,13635960
2018-07,17095402
2018-08,22540315
2018-09,30485128
2018-10,39043471
2018-11,30249810
2018-12,33334775
