Month,Quantity
2009-01,4889152
2009-02,6759443
2009-03,10468605
2009-04,22886390
2009-05,8996689
2009-06,13628879
2009-07,9598705
2009-08,9937622
2009-09,5023127
2009-10,3195730
2009-11,2740199
2009-12,2623349
2010-01,7670982
2010-02,7247206
2010-03,13621874
2010-04,11799172
2010-05,9116642
2010-06,18854476
2010-07,19676581
2010-08,19584925
2010-09,13089015
2010-10,6218818
2010-11,8992614
2010-12,8169964
2011-01,11858591
2011-02,10995170
2011-03,7361288
2011-04,6589743
2011-05,12999419
2011-06,11515337
2011-07,7558603
2011-08,15415479
2011-09,20863249
2011-10,22514937
2011-11,21609014
2011-12,34993514
2012-01,50664939
2012-02,44765080
2012-03,24698790
2012-04,25857477
2012-05,47303045
2012-06,65864236
2012-07,46017697
2012-08,34821191
2012-09,19472201
2012-10,20708573
2012-11,22010880
2012-12,91224972
2013-01,86210626
2013-02,60079037
2013-03,39986796
2013-04,28668904
2013-05,48693111
2013-06,41214491
2013-07,23663905
2013-08,19122969
2013-09,21012383
2013-10,18256228
2013-11,21107100
2013-12,84624689
2014-01,72960999
2014-02,61620305
2014-03,47308794
2014-04,41065203
2014-05,40014180
2014-06,42557555
2014-07,42894350
2014-08,53416253
2014-09,54953399
2014-10,28729013
2014-11,43707735
2014-12,88710552
2015-01,105646901
2015-02,81281557
2015-03,59245069
2015-04,42217475
2015-05,61748311
2015-06,54693294
2015-07,46276920
2015-08,34165982
2015-09,32179812
2015-10,24763373
2015-11,22127828
2015-12,48075957
2016-01,55174550
2016-02,61755660
2016-03,62969364
2016-04,68466620
2016-05,50730178
2016-06,51723357
2016-07,34979009
2016-08,36825207
2016-09,29341413
2016-10,23575334
2016-11,48567396
2016-12,81204233
2017-01,89643053
2017-02,56670622
2017-03,54716003
2017-04,45823553
2017-05,35528376
2017-06,49074335
2017-07,40644590
2017-08,39634725
2017-09,45962113
2017-10,33277244
2017-11,50134301
2017-12,96210497
2018-01,133993170
2018-02,71751052
2018-03,52677405
2018-04,51825486
2018-05,65972490
2018-06,52740967
2018-07,52260118
2018-08,60103688
2018-09,57216043
2018-10,48461761
2018-11,67120660
2018-12,108519490
