Month,Quantity
2009-01,512594
2009-02,436396
2009-03,365149
2009-04,720778
2009-05,807178
2009-06,900568
2009-07,1337682
2009-08,987313
2009-09,861445
2009-10,828735
2009-11,818794
2009-12,638640
2010-01,349295
2010-02,280136
2010-03,325157
2010-04,434502
2010-05,723325
2010-06,1160661
2010-07,1250236
2010-08,1367597
2010-09,2015335
2010-10,557748
2010-11,984342
2010-12,660023
2011-01,518984
2011-02,313182
2011-03,450624
2011-04,562585
2011-05,734113
2011-06,1099469
2011-07,864502
2011-08,886984
2011-09,1072831
2011-10,628631
2011-11,1015028
2011-12,707462
2012-01,489832
2012-02,449860
2012-03,263093
2012-04,674061
2012-05,1084660
2012-06,950185
2012-07,1280530
2012-08,1202185
2012-09,960377
2012-10,647842
2012-11,1069825
2012-12,1208825
2013-01,822388
2013-02,285810
2013-03,206880
2013-04,922777
2013-05,722437
2013-06,1290824
2013-07,1590648
2013-08,1128758
2013-09,1252471
2013-10,848695
2013-11,833137
2013-12,1392957
2014-01,1102421
2014-02,266726
2014-03,266253
2014-04,704262
2014-05,966488
2014-06,991587
2014-07,1307276
2014-08,1047500
2014-09,1450533
2014-10,734860
2014-11,1582201
2014-12,1064920
2015-01,675410
2015-02,577613
2015-03,346247
2015-04,849418
2015-05,970126
2015-06,804048
2015-07,1017122
2015-08,1114337
2015-09,850857
2015-10,1420539
2015-11,1496515
2015-12,2063363
2016-01,1490597
2016-02,588053
2016-03,122536
2016-04,789597
2016-05,911218
2016-06,1056138
2016-07,1768828
2016-08,1905722
2016-09,1445861
2016-10,1030222
2016-11,995003
2016-12,1243254
2017-01,1097981
2017-02,377408
2017-03,145226
2017-04,671469
2017-05,995723
2017-06,950133
2017-07,794155
2017-08,1490590
2017-09,1358726
2017-10,1015449
2017-11,3027912
2017-12,894781
2018-01,0
2018-02,588310
2018-03,245992
2018-04,942909
2018-05,1207583
2018-06,1316289
2018-07,1763899
2018-08,3410341
2018-09,2027493
2018-10,1045745
2018-11,1747227
2018-12,1266764
